message_text,spam_type,suggested_actions
Urgent hiring: No experience needed. Start today!,Fake Job,Do Not Respond;Report as Scam
"Work from home and earn ₹50,000/month. Apply now!",Fake Job,Do Not Respond;Report as Scam
Urgent: Suspicious activity detected in your account.,Phishing,Block Sender;Report as Phishing
Lottery alert: Confirm your winning ticket now.,Lottery,Ignore;Report as Scam
"Limited time offer on gadgets, shop now!",Promotion,Unsubscribe;Report as Promotion
New arrivals at unbelievable prices – check them out!,Promotion,Unsubscribe;Report as Promotion
Urgent: Suspicious activity detected in your account.,Phishing,Block Sender;Report as Phishing
Urgent hiring: No experience needed. Start today!,Fake Job,Do Not Respond;Report as Scam
Reset your password immediately to avoid account lockout.,Phishing,Block Sender;Report as Phishing
Check this shocking video now!,Malware,Do Not Click;Report as Malware
Lottery alert: Confirm your winning ticket now.,Lottery,Ignore;Report as Scam
Click here to speed up your system instantly.,Malware,Do Not Click;Report as Malware
Lottery alert: Confirm your winning ticket now.,Lottery,Ignore;Report as Scam
"You've won a free Smartwatch, click here to claim!",Scam,Delete Message;Block Sender
Claim your lottery reward by clicking this secure link.,Lottery,Ignore;Report as Scam
Urgent: Suspicious activity detected in your account.,Phishing,Block Sender;Report as Phishing
New arrivals at unbelievable prices – check them out!,Promotion,Unsubscribe;Report as Promotion
Lottery alert: Confirm your winning ticket now.,Lottery,Ignore;Report as Scam
Install this tool for better PC performance.,Malware,Do Not Click;Report as Malware
Low-interest loans available – apply now.,Loan Offer,Unsubscribe;Mark as Spam
New arrivals at unbelievable prices – check them out!,Promotion,Unsubscribe;Report as Promotion
Urgent: Suspicious activity detected in your account.,Phishing,Block Sender;Report as Phishing
Lottery alert: Confirm your winning ticket now.,Lottery,Ignore;Report as Scam
Urgent loan disbursal in 5 minutes – limited offer!,Loan Offer,Unsubscribe;Mark as Spam
Low-interest loans available – apply now.,Loan Offer,Unsubscribe;Mark as Spam
Claim your lottery reward by clicking this secure link.,Lottery,Ignore;Report as Scam
Hot singles in your area want to meet you.,Adult Content,Block Sender;Report as Inappropriate
Congratulations! Claim your $1000 reward now.,Scam,Delete Message;Block Sender
Claim your lottery reward by clicking this secure link.,Lottery,Ignore;Report as Scam
Urgent loan disbursal in 5 minutes – limited offer!,Loan Offer,Unsubscribe;Mark as Spam
"You have been selected for a cash prize of $10,000!",Lottery,Ignore;Report as Scam
"Limited time offer on shoes, shop now!",Promotion,Unsubscribe;Report as Promotion
"Limited time offer on watches, shop now!",Promotion,Unsubscribe;Report as Promotion
"Your email account has been compromised, verify now.",Phishing,Block Sender;Report as Phishing
"Work from home and earn ₹50,000/month. Apply now!",Fake Job,Do Not Respond;Report as Scam
Congratulations! Claim your $1000 reward now.,Scam,Delete Message;Block Sender
New arrivals at unbelievable prices – check them out!,Promotion,Unsubscribe;Report as Promotion
Congratulations! Claim your $1000 reward now.,Scam,Delete Message;Block Sender
Urgent loan disbursal in 5 minutes – limited offer!,Loan Offer,Unsubscribe;Mark as Spam
18+ only – click to view private content.,Adult Content,Block Sender;Report as Inappropriate
Low-interest loans available – apply now.,Loan Offer,Unsubscribe;Mark as Spam
Watch live now – adult content inside.,Adult Content,Block Sender;Report as Inappropriate
Watch live now – adult content inside.,Adult Content,Block Sender;Report as Inappropriate
18+ only – click to view private content.,Adult Content,Block Sender;Report as Inappropriate
Winner! Click to collect your free vacation package.,Scam,Delete Message;Block Sender
Reset your password immediately to avoid account lockout.,Phishing,Block Sender;Report as Phishing
New arrivals at unbelievable prices – check them out!,Promotion,Unsubscribe;Report as Promotion
New arrivals at unbelievable prices – check them out!,Promotion,Unsubscribe;Report as Promotion
